//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
DI22;GPIO_73;;P8 Pin 44;%IX41.1;GPIOs_P9_P8
DI19;GPIO_74;;P8 Pin 41;%IX41.2;GPIOs_P9_P8
DI20;GPIO_75;;P8 Pin 42;%IX41.3;GPIOs_P9_P8
DI17;GPIO_76;;P8 Pin 39;%IX41.4;GPIOs_P9_P8
DI18;GPIO_77;;P8 Pin 40;%IX41.5;GPIOs_P9_P8
DI15;GPIO_78;;P8 Pin 37;%IX41.6;GPIOs_P9_P8
DI16;GPIO_79;;P8 Pin 38;%IX41.7;GPIOs_P9_P8
DI14;GPIO_80;;P8 Pin 36;%IX42.0;GPIOs_P9_P8
DI12;GPIO_81;;P8 Pin 34;%IX42.1;GPIOs_P9_P8
;GPIO_82;;n/c;%IX42.2;GPIOs_P9_P8
;GPIO_83;;n/c;%IX42.3;GPIOs_P9_P8
;GPIO_84;;n/c;%IX42.4;GPIOs_P9_P8
;GPIO_85;;n/c;%IX42.5;GPIOs_P9_P8
DI05;GPIO_86;;P8 Pin 27;%IX42.6;GPIOs_P9_P8
DI07;GPIO_87;;P8 Pin 29;%IX42.7;GPIOs_P9_P8
DI06;GPIO_88;;P8 Pin 28;%IX43.0;GPIOs_P9_P8
DI08;GPIO_89;;P8 Pin 30;%IX43.1;GPIOs_P9_P8
;GPIO_90;;n/c;%IX43.2;GPIOs_P9_P8
;GPIO_91;;n/c;%IX43.3;GPIOs_P9_P8
;GPIO_92;;n/c;%IX43.4;GPIOs_P9_P8
;GPIO_93;;n/c;%IX43.5;GPIOs_P9_P8
;GPIO_94;;n/c;%IX43.6;GPIOs_P9_P8
;GPIO_95;;n/c;%IX43.7;GPIOs_P9_P8
;digital inputs 96-127;;;%ID11;GPIOs_P9_P8
;GPIO_96;;n/c;%IX44.0;GPIOs_P9_P8
;GPIO_97;;n/c;%IX44.1;GPIOs_P9_P8
;GPIO_98;;n/c;%IX44.2;GPIOs_P9_P8
;GPIO_99;;n/c;%IX44.3;GPIOs_P9_P8
;GPIO_100;;n/c;%IX44.4;GPIOs_P9_P8
;GPIO_101;;n/c;%IX44.5;GPIOs_P9_P8
;GPIO_102;;n/c;%IX44.6;GPIOs_P9_P8
